student_id,study_hours,sleep_hours,attendance_pct,previous_grade,tutoring,school_type,exam_score,passed
55,11.4,6.8,93,68,no,private,96.2,yes
56,9.1,8.7,85,58,no,public,79.4,yes
57,3.2,7.5,86,45,yes,public,66.2,yes
58,8.0,4.7,82,77,no,public,87.2,yes
59,1.5,8.9,65,89,no,charter,69.0,yes
60,5.4,6.1,79,,no,private,81.3,yes
61,6.5,5.4,78,54,no,private,78.5,yes
62,6.7,6.1,100,69,no,public,90.6,yes
63,7.2,6.6,92,62,no,public,86.0,yes
64,6.8,7.6,93,74,no,private,92.7,yes
65,5.8,4.8,90,74,yes,public,75.8,yes
66,6.4,6.7,99,62,yes,charter,76.4,yes
67,2.4,,,85,no,public,77.8,yes
68,6.1,6.6,100,72,yes,charter,85.1,yes
69,4.5,8.2,99,86,yes,private,94.1,yes
70,2.7,6.9,100,51,no,private,73.2,yes
71,7.5,8.6,75,57,no,public,74.7,yes
72,5.3,7.1,84,54,no,public,81.5,yes
73,3.6,9.2,88,85,no,private,87.3,yes
74,4.8,6.6,78,22,no,private,56.6,no
75,5.0,6.9,86,62,no,private,68.6,yes
76,3.7,7.9,96,68,no,private,79.6,yes
77,7.1,7.8,100,69,no,public,82.9,yes
78,4.9,7.8,90,85,yes,charter,88.3,yes
79,0.6,7.2,79,78,no,private,68.4,yes
80,3.9,8.5,91,88,no,private,87.6,yes
81,10.8,5.1,77,52,no,public,85.5,yes
82,3.5,8.2,84,70,no,charter,75.7,yes
83,5.6,7.6,75,46,yes,public,72.4,yes
84,5.5,7.4,94,49,no,charter,69.1,yes
85,1.5,8.5,98,57,no,private,71.6,yes
86,3.7,7.1,81,74,yes,public,72.8,yes
87,4.0,6.9,100,64,yes,public,85.2,yes
88,2.1,7.9,78,66,no,public,62.5,yes
89,4.6,6.9,85,64,yes,public,79.9,yes
90,7.0,4.1,90,41,no,public,63.8,yes
91,9.9,8.2,88,82,no,private,100,yes
92,9.9,6.5,96,62,no,public,85.7,yes
93,10.6,6.5,84,,no,charter,89.6,yes
94,4.2,9.1,84,70,no,charter,83.1,yes
95,4.7,8.0,81,56,yes,private,77.3,yes
96,3.8,5.9,100,71,yes,public,79.4,yes
97,2.1,8.3,81,62,yes,public,70.5,yes
98,7.1,5.7,90,51,no,private,71.3,yes
99,5.5,5.4,78,87,yes,charter,89.9,yes
100,5.7,5.6,90,69,no,public,81.1,yes
101,8.6,6.1,78,78,yes,charter,88.2,yes
102,0,7.9,100,59,yes,public,62.1,yes
103,3.3,9.4,78,77,yes,private,84.9,yes
104,5.8,6.1,82,,no,charter,78.7,yes
105,5.1,6.0,85,52,yes,public,65.1,yes
106,3.4,10,69,80,no,private,85.1,yes
107,7.4,8.0,97,69,yes,charter,87.5,yes
108,7.3,9.0,91,61,no,private,78.7,yes
109,3.3,5.7,86,42,no,private,67.2,yes
110,1.8,8.2,78,50,yes,private,65.3,yes
111,3.8,7.5,77,87,no,public,77.6,yes
112,10.8,6.4,86,80,no,private,97.0,yes
113,5.4,4.6,76,78,no,public,76.1,yes
114,10.1,7.2,80,32,yes,private,82.4,yes
115,10.9,,89,52,no,charter,89.6,yes
116,5.6,4.2,85,81,yes,public,80.8,yes
117,7.6,9.2,78,78,yes,charter,100,yes
118,0.4,7.3,83,83,no,private,73.9,yes
119,4.0,4.3,81,67,yes,private,79.5,yes
120,8.6,6.7,93,71,yes,charter,87.3,yes
121,6.8,7.8,95,80,no,public,82.8,yes
122,7.1,6.8,92,67,no,public,80.8,yes
123,8.1,9.4,88,65,no,charter,79.8,yes
124,9.8,6.3,78,52,no,private,78.3,yes
125,0,6.6,93,87,yes,public,68.1,yes
126,4.8,7.2,,55,no,charter,69.3,yes
127,5.3,5.5,89,59,yes,charter,81.5,yes
128,6.3,7.1,81,80,no,charter,79.4,yes
129,5.7,7.3,80,83,no,private,85.8,yes
130,3.1,7.0,97,55,no,public,61.4,yes
131,4.2,4.1,,82,no,public,79.1,yes
132,8.2,7.5,81,56,no,public,83.9,yes
133,9.4,6.8,84,72,yes,private,86.0,yes
134,7.4,6.7,83,48,yes,charter,83.3,yes
135,1.6,5.7,75,68,yes,private,66.3,yes
136,6.5,7.5,74,50,no,private,79.3,yes
137,7.1,,82,69,no,private,81.3,yes
138,7.5,4.9,99,63,no,public,77.3,yes
139,6.4,5.1,87,63,no,private,69.2,yes
140,7.5,6.5,78,52,yes,public,75.9,yes
141,3.6,7.7,81,49,no,private,65.3,yes
142,8.5,5.7,83,76,no,public,91.5,yes
143,9.1,8.8,85,49,yes,charter,86.3,yes
144,9.6,5.5,63,72,no,private,85.1,yes
145,8.3,7.4,79,79,no,public,91.9,yes
146,8.1,7.0,89,57,yes,private,93.6,yes
147,5.8,6.8,78,73,yes,private,84.2,yes
148,8.4,7.4,82,77,no,charter,90.3,yes
149,4.5,6.1,73,90,yes,charter,80.7,yes
150,4.3,6.7,83,79,no,private,81.4,yes
151,5.2,6.1,74,65,yes,public,72.2,yes
152,4.8,10,73,83,no,charter,82.1,yes
153,4.4,5.0,85,72,yes,private,79.9,yes
154,4.4,7.6,93,56,no,private,66.3,yes
155,2.4,7.0,75,82,no,charter,71.1,yes
156,6.6,8.0,92,67,yes,charter,81.3,yes
157,5.9,8.4,88,52,no,charter,75.2,yes
158,10.0,8.2,69,52,no,public,82.2,yes
159,7.7,7.8,81,56,yes,public,76.6,yes
160,6.7,6.9,93,58,no,public,74.4,yes
161,8.0,7.3,81,21,yes,private,74.5,yes
162,6.5,6.2,100,71,no,charter,79.5,yes
163,3.0,8.2,68,58,yes,private,71.9,yes
164,7.1,7.8,91,83,yes,private,97.4,yes
165,3.6,7.1,85,70,yes,public,79.0,yes
166,4.7,7.8,85,76,no,private,77.1,yes
167,2.5,6.5,79,57,no,public,66.9,yes
168,5.9,7.7,86,69,no,public,81.1,yes
169,7.7,7.1,86,64,no,private,89.2,yes
170,1.9,8.0,70,71,no,private,67.7,yes
171,5.8,6.9,91,75,no,private,80.3,yes
172,5.9,6.8,88,54,no,private,71.1,yes
173,7.5,,88,77,yes,public,89.9,yes
174,7.1,9.4,99,78,yes,public,88.8,yes
175,8.6,6.9,92,63,no,charter,93.3,yes
176,3.0,8.5,73,63,no,charter,66.9,yes
177,4.3,6.3,70,73,no,charter,81.9,yes
178,4.9,5.8,89,74,no,charter,71.0,yes
179,3.3,6.8,84,69,yes,private,80.0,yes
180,8.3,6.7,55,42,yes,private,83.1,yes
181,6.3,6.4,89,69,no,private,92.0,yes
182,8.0,5.6,89,71,no,charter,82.2,yes
183,6.2,4.5,96,72,yes,charter,84.8,yes
184,5.8,5.6,100,,no,public,79.9,yes
185,4.8,5.8,81,65,no,public,66.7,yes
186,5.6,8.2,85,74,no,private,77.0,yes
187,6.2,6.3,82,,no,public,75.5,yes
188,8.3,7.7,88,59,no,public,74.5,yes
189,7.1,5.9,74,69,yes,private,80.3,yes
190,5.8,9.1,68,83,yes,private,93.3,yes
191,5.1,7.1,78,71,no,charter,79.4,yes
192,5.4,6.5,88,73,no,private,78.9,yes
193,3.4,6.2,100,82,yes,private,85.1,yes
194,6.1,8.0,66,61,yes,private,78.5,yes
195,5.5,6.7,85,68,no,private,82.9,yes
196,2.8,5.8,87,60,no,public,61.1,yes
197,9.7,8.2,100,66,no,charter,96.9,yes
198,0.7,8.0,78,73,no,public,67.4,yes
199,10.3,6.7,100,94,no,public,100,yes
200,6.8,6.5,91,52,yes,charter,76.9,yes
201,6.7,6.5,88,58,no,charter,80.3,yes
202,9.1,7.4,79,67,no,charter,85.2,yes
203,3.6,7.8,96,56,yes,private,75.3,yes
204,6.5,6.3,95,48,yes,charter,69.5,yes
205,4.6,6.3,79,59,yes,private,76.9,yes
206,3.6,6.4,96,72,no,private,80.7,yes
207,8.3,7.2,97,60,no,private,88.2,yes
208,3.6,6.4,91,86,no,public,75.7,yes
209,3.0,7.0,85,60,yes,public,70.1,yes
210,8.0,6.2,90,62,yes,private,87.7,yes
211,6.9,5.3,100,,yes,private,86.1,yes
212,3.8,8.8,78,64,no,private,74.1,yes
213,6.9,6.8,87,50,yes,private,82.5,yes
214,2.2,6.7,66,78,no,charter,64.3,yes
215,9.1,6.6,91,60,no,private,79.9,yes
216,4.9,8.3,87,50,no,private,79.2,yes
217,2.9,7.2,96,46,no,public,72.6,yes
218,6.4,6.5,75,52,no,public,68.5,yes
219,5.4,6.2,84,88,no,public,82.1,yes
220,6.9,5.5,91,29,no,private,64.7,yes
221,3.3,5.8,79,65,no,private,63.0,yes
222,4.7,7.2,67,85,yes,public,86.0,yes
223,6.8,7.7,100,100,no,charter,95.2,yes
224,7.1,8.7,60,75,yes,charter,89.0,yes
225,4.2,6.7,87,67,no,charter,75.2,yes
226,8.0,8.8,95,77,no,charter,99.9,yes
227,8.2,6.6,87,55,no,charter,75.2,yes
228,8.9,6.5,91,71,no,charter,88.5,yes
229,4.8,6.8,94,64,yes,public,85.8,yes
230,4.8,9.6,69,96,no,public,83.4,yes
231,4.8,5.4,,52,yes,private,78.8,yes
232,7.3,7.4,82,74,yes,charter,86.5,yes
233,7.0,6.5,69,76,no,private,88.3,yes
234,0,8.0,100,82,yes,public,81.9,yes
235,4.8,7.4,90,83,no,charter,81.6,yes
236,5.9,7.6,76,58,yes,public,81.7,yes
237,4.1,8.5,78,68,no,public,74.3,yes
238,7.6,7.7,,51,no,private,80.2,yes
239,8.7,7.6,85,56,yes,public,85.9,yes
240,5.7,3.9,100,56,yes,private,82.1,yes
241,6.9,10,91,94,no,charter,97.9,yes
242,5.7,9.9,90,58,yes,public,84.7,yes
243,5.4,7.6,97,84,no,public,86.4,yes
244,7.3,8.3,82,60,no,public,83.0,yes
245,5.5,7.3,83,73,yes,private,79.6,yes
246,5.5,7.5,84,66,no,charter,78.7,yes
247,4.1,6.6,92,29,no,private,54.9,no
248,3.1,7.3,85,66,yes,private,70.9,yes
249,6.1,7.2,,90,no,charter,84.2,yes
250,3.7,7.9,87,55,no,private,68.1,yes
251,8.5,5.9,74,74,no,private,82.3,yes
252,10.8,7.5,81,25,no,public,78.0,yes
253,2.8,8.1,77,82,no,charter,78.9,yes
254,6.1,5.9,73,58,no,charter,67.0,yes
255,4.5,8.6,90,68,yes,private,82.5,yes
256,5.8,6.7,87,72,yes,private,92.9,yes
257,6.9,6.5,79,84,no,private,94.5,yes
258,4.4,6.7,80,65,no,private,82.0,yes
259,5.4,7.8,87,64,no,charter,71.9,yes
260,9.7,6.7,82,62,no,private,88.1,yes
261,6.4,3.5,81,60,no,charter,80.3,yes
262,7.8,4.4,,55,no,charter,69.3,yes
263,6.5,6.2,75,45,no,public,64.5,yes
264,5.8,5.9,63,49,yes,private,82.2,yes
265,5.2,7.1,90,71,no,public,87.9,yes
266,7.1,7.0,92,56,no,private,80.4,yes
267,0,6.5,78,54,no,public,55.0,no
268,0.6,5.5,92,,no,private,55.6,no
269,7.4,7.4,99,63,yes,charter,97.3,yes
270,5.1,7.1,82,70,yes,private,83.5,yes
271,5.8,7.0,72,69,yes,private,73.8,yes
272,6.0,7.8,77,80,yes,public,89.6,yes
273,5.8,5.1,80,58,yes,charter,67.9,yes
274,6.3,6.7,92,76,no,charter,78.8,yes
275,7.0,5.2,76,69,no,public,73.4,yes
276,6.6,7.2,74,37,no,charter,69.4,yes
277,6.6,5.8,77,45,no,public,67.0,yes
278,0,6.5,79,67,no,private,53.8,no
279,4.5,8.0,93,72,no,private,84.5,yes
280,5.9,8.0,68,50,no,charter,74.2,yes
281,6.0,8.9,73,,yes,public,79.6,yes
282,2.7,7.0,76,77,no,private,71.0,yes
283,4.8,7.3,76,55,no,charter,75.2,yes
284,5.8,7.9,89,57,yes,private,76.0,yes
285,2.9,6.9,77,74,no,charter,77.0,yes
286,1.8,8.8,,64,no,public,64.3,yes
287,7.1,,81,44,no,public,76.3,yes
288,2.8,6.7,97,54,no,charter,70.2,yes
289,7.2,4.6,88,73,no,charter,81.6,yes
290,3.2,6.0,100,60,no,charter,68.5,yes
291,6.4,5.2,87,64,no,public,69.0,yes
292,3.7,7.3,75,81,no,private,73.4,yes
293,10.1,7.7,,68,yes,private,100,yes
294,6.1,6.4,88,69,yes,private,88.5,yes
295,9.7,5.3,88,51,no,charter,82.8,yes
296,10.6,3.5,69,74,no,public,77.8,yes
297,8.7,7.3,76,63,no,charter,79.4,yes
298,6.6,7.2,98,49,yes,public,72.3,yes
299,3.1,7.7,93,68,no,public,69.5,yes
300,5.8,7.0,74,95,no,charter,84.4,yes
5,0.5,6.1,92,70,yes,charter,65.2,yes
9,8.4,8.3,93,75,yes,public,94.5,yes
